cartodb_id,the_geom,number,borough,eachdate
280,,6,QUEENS,2010-03-14
281,,8,BRONX,2010-03-14
282,,9,QUEENS,2010-03-15
283,,54,BRONX,2010-03-15
284,,8,BROOKLYN,2010-03-15
285,,20,MANHATTAN,2010-03-15
286,,1,STATEN ISLAND,2010-03-16
287,,27,BRONX,2010-03-16
288,,13,QUEENS,2010-03-16
289,,20,BROOKLYN,2010-03-16
290,,10,MANHATTAN,2010-03-16
291,,11,QUEENS,2010-03-17
292,,26,BROOKLYN,2010-03-17
293,,4,MANHATTAN,2010-03-17
294,,35,BRONX,2010-03-17
295,,10,BROOKLYN,2010-03-18
296,,20,BRONX,2010-03-18
297,,20,QUEENS,2010-03-18
298,,18,MANHATTAN,2010-03-18
299,,20,QUEENS,2010-03-19
300,,8,BROOKLYN,2010-03-19
301,,12,MANHATTAN,2010-03-19
302,,2,STATEN ISLAND,2010-03-19
303,,44,BRONX,2010-03-19
304,,2,BROOKLYN,2010-03-20
305,,6,BRONX,2010-03-20
306,,1,QUEENS,2010-03-20
307,,1,MANHATTAN,2010-03-21
308,,3,BROOKLYN,2010-03-21
309,,1,STATEN ISLAND,2010-03-21
310,,4,QUEENS,2010-03-21
311,,15,MANHATTAN,2010-03-22
312,,5,QUEENS,2010-03-22
313,,13,BROOKLYN,2010-03-22
314,,13,BRONX,2010-03-22
315,,8,MANHATTAN,2010-03-23
316,,17,BRONX,2010-03-23
317,,3,BROOKLYN,2010-03-23
318,,13,QUEENS,2010-03-23
319,,1,STATEN ISLAND,2010-03-24
320,,11,BROOKLYN,2010-03-24
321,,8,QUEENS,2010-03-24
322,,48,BRONX,2010-03-24
323,,10,MANHATTAN,2010-03-24
324,,34,BRONX,2010-03-25
325,,1,STATEN ISLAND,2010-03-25
326,,10,BROOKLYN,2010-03-25
327,,5,QUEENS,2010-03-25
328,,4,MANHATTAN,2010-03-26
329,,1,STATEN ISLAND,2010-03-26
330,,44,BRONX,2010-03-26
331,,4,QUEENS,2010-03-26
332,,7,BROOKLYN,2010-03-26
333,,3,BRONX,2010-03-27
334,,1,BROOKLYN,2010-03-27
335,,11,BRONX,2010-03-28
336,,4,BROOKLYN,2010-03-28
337,,2,QUEENS,2010-03-29
338,,4,MANHATTAN,2010-03-29
339,,3,BRONX,2010-03-29
340,,6,BROOKLYN,2010-03-29
341,,7,QUEENS,2010-03-30
342,,3,MANHATTAN,2010-03-30
343,,33,BRONX,2010-03-30
344,,2,BROOKLYN,2010-03-30
345,,6,MANHATTAN,2010-03-31
346,,26,BRONX,2010-03-31
347,,5,QUEENS,2010-03-31
348,,9,BROOKLYN,2010-03-31
